Municipios,Ano,População residente,Densidade populacional,Jovens (%),População em idade activa (%),Idosos (%),Índice de envelhecimento,População estrangeira (2),População estrangeira em % da população residente (2),Nascimentos (3),Óbitos,Taxa de mortalidade infantil (‰),Diferença entre os nascimentos e os óbitos,Casamentos,Divórcios,Hospitais,Farmácias (1),Alojamentos familiares clássicos,Edifícios novos concluídos para habitação familiar,Estabelecimentos do ensino pré-escolar,Estabelecimentos do 1.º ciclo do ensino básico,Estabelecimentos do 2.º ciclo do ensino básico,Estabelecimentos do 3.º ciclo do ensino básico,Estabelecimentos do ensino secundário,Alunos do ensino não superior (5),Estabelecimentos do ensino superior,Alunos do ensino superior (5),Museus,Sessões de espectáculos ao vivo,Ecrãs de cinema,Despesas da Câmara Municipal em cultura e desporto (%),Empresas não financeiras (4),Pessoal ao serviço nas empresas não financeiras (4),Pessoal ao serviço nas quatro maiores empresas do município (%),Volume de negócios das quatro maiores empresas do município (%),Ganho médio mensal dos trabalhadores por conta de outrem. €,Bancos. Caixas Económicas,Caixas de Crédito Agrícola Mútuo,Caixas automáticas multibanco,Pensões da Segurança Social,Pensões da Caixa Geral de Aposentações,Pensões da Segurança Social e da CGA em % da população residente,Beneficiários do Rendimento Social de Inserção (RSI),Desempregados inscritos nos centros de emprego,Desempregados inscritos nos centros de emprego em % da população residente,Trabalhadores da Administração Pública Local,Despesas da Câmara Municipal (7),Receitas da Câmara Municipal (8),Saldo financeiro da Câmara Municipal,Transferências recebidas no total das receitas da Câmara Municipal (%),Crimes registados pelas polícias por mil habitantes,Consumo de energia eléctrica por habitante (kWh),Resíduos urbanos recolhidos selectivamente por habitante (kg),Despesas do município em ambiente (%),Alojamentos turísticos (6),(%)sem nivel de escolaridade,(%) Básico 1º ciclo,(%)Básico 2º ciclo,(%)Básico 3º ciclo,(%)Secundário,(%)Médio,(%)Superior
Portugal,2010,10573100,0,15.2,66.3,18.5,122,443055,4.2,0,105954,0,-4573,39993,27556,229,3055,5852186,17445,6974,5711,1171,1524,937,2016257,296,383627,340,30088,564,10,1145390,3732512,2,5,1075,5877,741,14318,2896074,577327,39,527287,555827,8,135527,7181975.2,7247436.3,65461,49,40.1,4776.8,76.2,8,2011,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Abrantes,2010,39637,0,12.8,61.6,25.6,200,652,1.6,0,525,0,-256,103,77,1,15,25483,50,33,31,4,6,4,6971,1,458,1,0,1,12.9,3079,8658,12,55,969,19,4,56,14640,2313,49,1337,2160,9,407,23972,25909.4,1937,63.8,32.4,4075.9,66.2,5,4,12.8,31.1,11.5,19.3,14.3, 0.7,10.3
Águeda,2010,47875,0,13.9,67.3,18.8,135,1176,2.5,0,416,0,-7,170,126,1,14,22754,90,36,27,5,7,2,9329,1,796,1,23,1,7.2,5173,20090,5,10,911,26,3,60,14295,1337,38,1032,2147,7,436,27661,27699.6,39,54,33.8,5421.9,52.4,5,6,10.0,30.5,15.9,19.2,13.6, 1.0,9.7
Aguiar da Beira,2010,5539,0,11.7,61.7,26.6,227,38,0.7,0,99,0,-65,28,9,0,2,4864,24,7,5,1,1,1,764,0,0,0,0,0,27.6,572,1254,9,24,695,4,2,6,2233,181,50,166,200,6,107,6062.2,7687.7,1626,77.8,19.7,3019.2,22.4,3,1,25.4,35.8,9.4,13.5,10.6, 0.7,4.6
Alandroal,2010,5909,0,11.2,58,30.7,274,130,2.2,0,92,0,-53,13,10,0,3,4478,11,4,8,1,1,1,733,0,0,0,0,0,7.2,564,1109,23,19,747,1,2,4,2743,239,57,244,315,9,206,17595.7,8863.8,-8732,81.6,13.4,3269.9,42.5,2,0,20.3,35.6,13.6,15.2,10.0, 0.4,5.0
Albergaria-a-Velha,2010,25263,0,15.5,67.7,16.8,108,577,2.3,0,229,0,15,94,65,0,8,12284,53,24,21,4,4,3,4584,0,0,0,0,0,11,2508,8005,15,31,904,13,1,30,6286,756,33,688,1204,7,299,15161.5,17375.1,2214,46.2,33.4,6049,45.5,4,3,9.8,29.0,17.7,19.9,13.0, 1.1,9.5
Albufeira,2010,40328,0,17.4,69.3,13.3,77,11273,28,0,283,0,256,180,100,0,8,42472,69,18,16,6,6,3,8428,0,0,1,22,9,11.8,6533,18255,7,9,902,33,6,100,6475,1008,22,1043,2920,10,1346,60380.6,57166.3,-3214,16.9,113.9,8911.3,511.6,5,141,9.0,20.9,12.6,23.2,21.4, 1.4,11.5
Alcácer do Sal,2010,13119,0,12.5,62.1,25.4,203,294,2.2,0,153,0,-37,46,23,0,5,8790,35,11,9,2,2,1,1943,0,0,0,0,1,10.4,1739,3414,5,19,876,6,2,22,5238,660,52,685,448,5,361,17371.2,18180,809,63.7,28.6,5586.1,53.3,5,8,18.9,32.2,13.1,16.3,12.2, 0.6,6.7
Alcanena,2010,13932,0,13.7,63.8,22.5,165,508,3.6,0,151,0,-40,37,38,1,5,8060,20,15,12,2,3,1,2303,0,0,1,26,0,8.9,1597,6532,24,74,959,5,1,19,4644,395,42,372,506,6,191,8949.9,10351.1,1401,54.5,26.1,5899.9,42,17,2,11.2,31.8,13.9,18.3,15.1, 0.8,9.0
Alcobaça,2010,56839,0,15,65.5,19.6,131,1788,3.1,0,657,0,-223,138,140,1,15,34504,119,42,52,5,7,5,11806,0,0,0,166,1,8.6,6485,19814,4,10,863,31,5,81,18022,1838,41,1239,2569,7,344,25975.4,27753.2,1778,49.3,37.9,5558.3,42.3,18,7,11.8,30.9,12.5,19.6,14.8, 0.9,9.4
