,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings,class
0,0,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1,1
1,0,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2,1
2,1,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3,1
3,0,0.215,0.15,0.055,0.040999999999999995,0.015,0.009000000000000001,0.0125,3,1
4,0,0.165,0.12,0.03,0.0215,0.006999999999999999,0.005,0.005,3,1
5,0,0.195,0.15,0.045,0.0375,0.018000000000000002,0.006,0.011000000000000001,3,1
6,0,0.24,0.175,0.065,0.0665,0.031,0.0135,0.017,3,1
7,0,0.16,0.11,0.025,0.018000000000000002,0.0065,0.0055,0.005,3,1
8,0,0.205,0.155,0.045,0.0495,0.0235,0.011000000000000001,0.013999999999999999,3,1
9,1,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,3,1
10,0,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3,1
11,0,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009000000000000001,3,1
12,0,0.13,0.1,0.03,0.013000000000000001,0.0045,0.003,0.004,3,1
13,0,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,3,1
14,1,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,3,1
15,0,0.165,0.12,0.05,0.021,0.0075,0.0045,0.013999999999999999,3,1
16,0,0.14,0.105,0.035,0.013999999999999999,0.0055,0.0025,0.004,3,1
17,0,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013000000000000001,4,1
18,0,0.2,0.145,0.05,0.036000000000000004,0.0125,0.008,0.011000000000000001,4,1
19,0,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,4,1
20,0,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,4,1
21,0,0.16,0.12,0.02,0.018000000000000002,0.0075,0.0045,0.005,4,1
22,1,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,4,1
23,0,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026000000000000002,4,1
24,0,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,4,1
25,0,0.135,0.13,0.04,0.028999999999999998,0.0125,0.0065,0.008,4,1
26,0,0.245,0.19,0.06,0.086,0.042,0.013999999999999999,0.025,4,1
27,1,0.175,0.125,0.04,0.024,0.0095,0.006,0.005,4,1
28,0,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4,1
29,0,0.28,0.12,0.075,0.11699999999999999,0.0455,0.028999999999999998,0.0345,4,1
30,0,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,4,1
31,0,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4,1
32,0,0.17,0.13,0.095,0.03,0.013000000000000001,0.008,0.01,4,1
33,0,0.25,0.175,0.06,0.0635,0.0275,0.008,0.02,4,1
34,0,0.21,0.15,0.045,0.04,0.0135,0.008,0.0105,4,1
35,0,0.36,0.27,0.085,0.196,0.0875,0.035,0.064,4,1
36,0,0.24,0.18,0.055,0.0555,0.0235,0.013000000000000001,0.018000000000000002,4,1
